data,cotacao_usd,volume_negociado
2026-09-01,5.1765,101649
2026-09-02,5.1461,337031
2026-09-03,5.079,29477
2026-09-04,5.1188,420482
2026-09-05,5.1479,227400
2026-09-06,,227060
2026-09-07,5.0694,399959
2026-09-08,5.2193,446742
2026-09-09,5.0792,399570
2026-09-10,5.1221,415105
2026-09-11,5.2275,296479
2026-09-12,4.9735,414470
2026-09-13,5.0381,358754
2026-09-14,5.0265,283586
2026-09-15,5.0509,318433
2026-09-16,5.0315,325891
2026-09-17,5.1185,309471
2026-09-18,5.1516,419415
2026-09-19,,344971
2026-09-20,5.1028,116464
2026-09-21,5.2542,141184
2026-09-22,5.2603,97051
2026-09-23,5.4495,160653
2026-09-24,5.615,255300
2026-09-25,5.4727,69722
2026-09-26,5.4246,102036
2026-09-27,5.3462,238634
2026-09-28,5.3477,157595
2026-09-29,5.3681,339104
2026-09-30,5.392,258709
2026-10-01,5.4834,291696
